level,stage,english
1,first,able
1,first,above
1,first,adult
1,first,afraid
1,first,all
1,first,alone
1,first,angry
1,first,another
1,first,any
1,first,back
1,first,bad
1,first,basic
1,first,beautiful
1,first,best
1,first,better
1,first,big
1,first,black
1,first,blue
1,first,born
1,first,both
1,first,bottom
1,first,brave
1,first,bright
1,first,brown
1,first,busy
1,first,careful
1,first,certain
1,first,chief
1,first,clean
1,first,clear
1,first,close
1,first,cold
1,first,common
1,first,cool
1,first,correct
1,first,cute
1,first,dark
1,first,dead
1,first,dear
1,first,deep
1,first,different
1,first,difficult
1,first,direct
1,first,dirty
1,first,down
1,first,downstairs
1,first,dry
1,first,each
1,first,early
1,first,east
1,first,easy
1,first,eight
1,first,eighteen
1,first,eighty
1,first,either
1,first,eleven
1,first,English
1,first,enough
1,first,equal
1,first,even
1,first,every
1,first,FALSE
1,first,far
1,first,fast
1,first,fat
1,first,few
1,first,fifteen
1,first,fifty
1,first,final
1,first,fine
1,first,first
1,first,five
1,first,foreign
1,first,forty
1,first,four
1,first,fourteen
1,first,free
1,first,fresh
1,first,front
1,first,full
1,first,funny
1,first,general
1,first,glad
1,first,gold
1,first,good
1,first,grand
1,first,gray
1,first,great
1,first,green
1,first,grey
1,first,half
1,first,happy
1,first,hard
1,first,heavy
1,first,high
1,first,home
1,first,hot
1,first,huge
1,first,human
1,first,hundred
1,first,hungry
1,first,important
1,first,in
1,first,inside
1,first,iron
1,first,just
1,first,key
1,first,kind
1,first,large
1,first,last
1,first,late
1,first,lazy
1,first,least
1,first,left
1,first,less
1,first,level
1,first,light
1,first,likely
1,first,little
1,first,live
1,first,long
1,first,loud
1,first,low
1,first,lucky
1,first,mad
1,first,many
1,first,mean
1,first,middle
1,first,more
1,first,most
1,first,much
1,first,near
1,first,new
1,first,next
1,first,nice
1,first,nine
1,first,nineteen
1,first,ninety
1,first,no
1,first,noisy
1,first,north
1,first,O.K.
1,first,off
1,first,OK
1,first,okay
1,first,old
1,first,one
1,first,open
1,first,orange
1,first,other
1,first,out
1,first,outside
1,first,own
1,first,past
1,first,poor
1,first,possible
1,first,pretty
1,first,public
1,first,purple
1,first,quick
1,first,quiet
1,first,ready
1,first,real
1,first,red
1,first,rich
1,first,right
1,first,round
1,first,sad
1,first,safe
1,first,salt
1,first,same
1,first,second
1,first,selfish
1,first,seven
1,first,seventeen
1,first,seventy
1,first,several
1,first,sharp
1,first,short
1,first,shy
1,first,sick
1,first,silly
1,first,silver
1,first,simple
1,first,six
1,first,sixteen
1,first,sixty
1,first,slow
1,first,small
1,first,smart
1,first,soft
1,first,some
1,first,sorry
1,first,sound
1,first,sour
1,first,south
1,first,special
1,first,still
1,first,strange
1,first,strong
1,first,stupid
1,first,such
1,first,super
1,first,sure
1,first,sweet
1,first,tall
1,first,ten
1,first,that
1,first,then
1,first,these
1,first,third
1,first,thirteen
1,first,thirty
1,first,this
1,first,those
1,first,thousand
1,first,three
1,first,tiny
1,first,top
1,first,total
1,first,TRUE
1,first,twelve
1,first,twenty
1,first,two
1,first,up
1,first,upstairs
1,first,useful
1,first,warm
1,first,weak
1,first,welcome
1,first,well
1,first,west
1,first,what
1,first,which
1,first,white
1,first,whole
1,first,wide
1,first,worse
1,first,worst
1,first,wrong
1,first,yellow
1,first,young
1,first,yucky
1,first,yummy
1,first,act
1,first,add
1,first,address
1,first,age
1,first,agree
1,first,allow
1,first,am
1,first,answer
1,first,ape
1,first,appear
1,first,are
1,first,ask
1,first,back
1,first,ball
1,first,balloon
1,first,bank
1,first,bar
1,first,base
1,first,bat
1,first,bathe
1,first,be
1,first,beach
1,first,beat
1,first,become
1,first,begin
1,first,believe
1,first,belong
1,first,best
1,first,better
1,first,bite
1,first,block
1,first,blow
1,first,book
1,first,bottom
1,first,box
1,first,break
1,first,breakfast
1,first,bridge
1,first,bring
1,first,brown
1,first,bug
1,first,build
1,first,bus
1,first,busy
1,first,butter
1,first,buy
1,first,cage
1,first,call
1,first,camp
1,first,can
1,first,cap
1,first,care
1,first,carry
1,first,case
1,first,catch
1,first,cause
1,first,center
1,first,chair
1,first,chance
1,first,chart
1,first,chase
1,first,check
1,first,class
1,first,clean
1,first,clear
1,first,climb
1,first,close
1,first,cloud
1,first,coat
1,first,color
1,first,come
1,first,continue
1,first,cook
1,first,cool
1,first,correct
1,first,cost
1,first,count
1,first,course
1,first,cover
1,first,cry
1,first,cup
1,first,cut
1,first,dance
1,first,darken
1,first,date
1,first,deal
1,first,decide
1,first,die
1,first,dig
1,first,direct
1,first,dirty
1,first,discover
1,first,dish
1,first,do
1,first,down
1,first,draw
1,first,dream
1,first,drink
1,first,drive
1,first,dry
1,first,duck
1,first,ease
1,first,eat
1,first,edge
1,first,end
1,first,enter
1,first,equal
1,first,even
1,first,examine
1,first,except
1,first,eye
1,first,face
1,first,fall
1,first,fan
1,first,farm
1,first,father
1,first,fear
1,first,feed
1,first,feel
1,first,fight
1,first,fill
